target_id	SRR25223640	SRR25223641	SRR25223642	SRR25223643	SRR25223644	SRR25223645	SRR25223646	SRR25223647	SRR25223648	SRR25223649	SRR25223650	SRR25223651	SRR25223652	SRR25223653	SRR25223654	SRR25223655
KH.C1.1.v1.A.ND1-1	0	0	42	49	0	0	71	58	17	56	17	0	53	0	0	0
KH.C1.1.v1.A.SL2-1	32	23	0	0	34	76	19	0	13	0	20	64	19	0	0	20
KH.C1.1.v1.A.SL3-1	0	0	0	0	0	0	43	0	0	0	0	0	0	35	39	23
KH.C1.10.v1.A.SL3-1	0	155	0	17	28	0	0	0	295	28	14	110	0	0	0	0
KH.C1.10.v2.A.SL2-1	1879	929	951	1295	473	361	393	293	1515	820	1177	1216	793	344	374	398
KH.C1.10.v3.A.ND1-1	0	136	76	57	0	0	0	0	0	15	120	154	30	0	45	0
KH.C1.100.v1.A.ND1-1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0
KH.C1.100.v1.A.nonSL2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1000.v1.A.SL1-1	3096	2691	3605	2409	4179	3045	2295	2174	2638	2225	2496	2299	3567	2381	2810	2693
KH.C1.1001.v1.A.ND1-1	0	0	197	0	79	181	0	0	0	3	378	0	24	126	321	1
KH.C1.1001.v1.A.SL12-1	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1001.v1.A.nonSL1-1	0	0	197	0	79	181	0	0	0	3	378	0	24	126	321	1
KH.C1.1001.v1.A.nonSL10-1	939	1137	1192	846	1450	1172	1417	1055	942	863	1180	1158	1854	1251	1195	1390
KH.C1.1001.v1.A.nonSL11-1	0	0	575	24	48	385	436	0	0	0	337	0	1	328	866	429
KH.C1.1001.v1.A.nonSL13-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1001.v1.A.nonSL14-1	426	0	0	372	241	144	0	0	0	192	47	0	98	0	80	0
KH.C1.1001.v1.A.nonSL15-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1001.v1.A.nonSL2-1	15	441	0	0	359	115	427	672	221	140	201	278	672	466	1	552
KH.C1.1001.v1.A.nonSL3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1001.v1.A.nonSL4-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1001.v1.A.nonSL5-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1001.v1.A.nonSL6-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1001.v1.A.nonSL7-1	0	0	394	0	785	0	0	0	124	76	1	0	0	0	0	0
KH.C1.1001.v1.A.nonSL8-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0
KH.C1.1001.v1.A.nonSL9-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.1002.v1.A.ND1-1	0	2	1	10	17	17	20	13	0	2	1	17	1	3	14	9
KH.C1.1003.v1.A.ND1-1	33	8	26	8	35	9	6	9	6	8	5	21	33	10	0	1
KH.C1.1004.v1.A.ND1-1	8	9	2	8	26	37	186	1	0	0	6	1	4	18	24	74
KH.C1.1004.v1.A.SL6-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
KH.C1.1004.v1.A.nonSL10-1	297	326	110	336	835	402	581	41	0	0	244	45	132	562	1101	713
KH.C1.1004.v1.A.nonSL2-1	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
KH.C1.1004.v1.A.nonSL3-1	0	0	0	0	0	0	7	0	0	364	46	0	3	0	0	0
KH.C1.1004.v1.A.nonSL4-1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
KH.C1.1004.v1.A.nonSL5-1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0
KH.C1.1004.v1.A.nonSL7-1	69	30	0	0	148	0	21	0	0	0	0	24	0	84	102	79
KH.C1.1004.v1.A.nonSL8-1	0	0	423	0	492	960	975	1431	290	0	119	141	1135	635	348	617
KH.C1.1004.v1.A.nonSL9-1	0	0	0	0	0	32	5	0	0	18	2	0	0	0	0	0
KH.C1.1004.v1.R.ND1-1	8	9	2	8	26	37	186	1	0	0	6	1	4	18	24	74
KH.C1.1005.v1.A.SL1-1	370	131	389	616	1366	1535	3690	3688	257	135	244	525	1138	916	4170	4067
KH.C1.1005.v2.A.SL2-1	274	200	184	161	1660	340	0	0	116	133	171	239	2882	212	181	37
KH.C1.1006.v1.A.ND1-1	0	2	19	0	33	0	0	2	4	16	25	0	18	0	0	1
KH.C1.1007.v1.A.ND1-1	0	0	0	0	40	29	55	0	0	0	0	0	0	0	0	0
KH.C1.1007.v1.A.nonSL2-1	143	143	141	113	0	0	38	83	224	142	121	101	132	72	130	96
KH.C1.1007.v1.R.ND1-1	0	0	0	0	40	29	55	0	0	0	0	0	0	0	0	0
KH.C1.1008.v1.A.ND1-1	419	420	718	310	855	786	1180	703	371	391	467	249	511	596	681	743
KH.C1.1008.v1.R.ND1-1	419	420	718	310	855	786	1180	703	371	391	467	249	511	596	681	743
KH.C1.1008.v2.A.SL2-1	176	662	560	64	892	533	667	635	119	183	846	211	2108	588	1262	963
KH.C1.1009.v1.A.SL1-1	1251	1916	2489	1317	4843	4332	2180	1477	1572	1122	2278	1365	4175	4334	1631	1487
KH.C1.101.v1.A.ND2-1	0	8	0	0	3	0	0	0	0	0	0	0	0	0	2	0
KH.C1.101.v1.A.SL1-1	0	0	31	2	171	0	0	0	0	151	350	55	0	0	0	0
KH.C1.101.v1.A.nonSL4-1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0
KH.C1.101.v1.A.nonSL5-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.101.v1.A.nonSL6-1	0	0	0	0	0	0	0	0	74	0	0	0	0	0	20	0
KH.C1.101.v1.R.ND2-1	0	8	0	0	3	0	0	0	0	0	0	0	0	0	2	0
KH.C1.101.v2.A.ND3-1	301	324	355	373	283	464	772	523	315	352	281	230	108	389	492	156
KH.C1.101.v2.A.nonSL4-1	245	423	179	0	119	272	900	300	0	0	0	181	668	588	1067	878
KH.C1.101.v2.A.nonSL5-1	0	0	2	0	0	114	0	306	0	0	0	0	4	22	14	407
KH.C1.101.v2.A.nonSL6-1	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0
KH.C1.101.v2.R.ND3-1	301	324	355	373	283	464	772	523	315	352	281	230	108	389	492	156
KH.C1.1010.v1.A.ND1-1	19	95	112	130	39	152	202	176	48	68	40	76	22	59	81	47
KH.C1.1011.v1.A.SL1-1	1449	1264	1532	1892	2176	2798	2634	2172	1626	1212	1613	2009	2163	2100	2127	1797
