target_id	length	eff_length	est_counts	tpm
KH.C1.1.v1.A.ND1-1	995	784.867	55.9652	5.35446
KH.C1.1.v1.A.SL2-1	950	739.873	0	0
KH.C1.1.v1.A.SL3-1	984	773.867	0.034782	0.00337506
KH.C1.10.v1.A.SL3-1	1956	1745.87	28.1592	1.21116
KH.C1.10.v2.A.SL2-1	1832	1621.87	819.92	37.9621
KH.C1.10.v3.A.ND1-1	1947	1736.87	15.1032	0.652974
KH.C1.100.v1.A.ND1-1	348	158.409	0	0
KH.C1.100.v1.A.nonSL2-1	226	66.7582	0	0
KH.C1.1000.v1.A.SL1-1	3403	3192.87	2225	52.3291
KH.C1.1001.v1.A.ND1-1	1191	980.867	3.33477	0.255299
KH.C1.1001.v1.A.SL12-1	1081	870.867	0.0417735	0.003602
KH.C1.1001.v1.A.nonSL1-1	1191	980.867	3.33477	0.255299
KH.C1.1001.v1.A.nonSL10-1	1064	853.867	863.321	75.9234
KH.C1.1001.v1.A.nonSL11-1	1140	929.867	0	0
KH.C1.1001.v1.A.nonSL13-1	1096	885.867	0	0
KH.C1.1001.v1.A.nonSL14-1	1216	1005.87	192.143	14.3442
KH.C1.1001.v1.A.nonSL15-1	1099	888.867	0	0
KH.C1.1001.v1.A.nonSL2-1	1195	984.867	139.865	10.6641
KH.C1.1001.v1.A.nonSL3-1	1153	942.867	0	0
KH.C1.1001.v1.A.nonSL4-1	1098	887.867	0	0
KH.C1.1001.v1.A.nonSL5-1	1149	938.867	0	0
KH.C1.1001.v1.A.nonSL6-1	1093	882.867	0	0
KH.C1.1001.v1.A.nonSL7-1	1186	975.867	75.9601	5.84506
KH.C1.1001.v1.A.nonSL8-1	1157	946.867	0	0
KH.C1.1001.v1.A.nonSL9-1	1091	880.867	0	0
KH.C1.1002.v1.A.ND1-1	547	340.329	2	0.441291
KH.C1.1003.v1.A.ND1-1	1705	1494.87	8	0.401866
KH.C1.1004.v1.A.ND1-1	2124	1913.87	0	0
