target_id	length	eff_length	est_counts	tpm
KH.C1.1.v1.A.ND1-1	995	769.26	17.1094	1.70461
KH.C1.1.v1.A.SL2-1	950	724.299	20.0279	2.11924
KH.C1.1.v1.A.SL3-1	984	758.26	0	0
KH.C1.10.v1.A.SL3-1	1956	1730.26	13.9537	0.618075
KH.C1.10.v2.A.SL2-1	1832	1606.26	1177.08	56.1635
KH.C1.10.v3.A.ND1-1	1947	1721.26	119.74	5.33157
KH.C1.100.v1.A.ND1-1	348	151.885	0	0
KH.C1.100.v1.A.nonSL2-1	226	63.3808	0	0
KH.C1.1000.v1.A.SL1-1	3403	3177.26	2496	60.2081
KH.C1.1001.v1.A.ND1-1	1191	965.26	377.914	30.0063
KH.C1.1001.v1.A.SL12-1	1081	855.26	0	0
KH.C1.1001.v1.A.nonSL1-1	1191	965.26	377.914	30.0063
KH.C1.1001.v1.A.nonSL10-1	1064	838.26	1179.81	107.869
KH.C1.1001.v1.A.nonSL11-1	1140	914.26	337.283	28.274
KH.C1.1001.v1.A.nonSL13-1	1096	870.26	0	0
KH.C1.1001.v1.A.nonSL14-1	1216	990.26	47.0162	3.63883
KH.C1.1001.v1.A.nonSL15-1	1099	873.26	0	0
KH.C1.1001.v1.A.nonSL2-1	1195	969.26	200.965	15.8907
KH.C1.1001.v1.A.nonSL3-1	1153	927.26	9.0309e-07	7.46436e-08
KH.C1.1001.v1.A.nonSL4-1	1098	872.26	0	0
KH.C1.1001.v1.A.nonSL5-1	1149	923.26	0.000380612	3.15952e-05
KH.C1.1001.v1.A.nonSL6-1	1093	867.26	0	0
KH.C1.1001.v1.A.nonSL7-1	1186	960.26	1.0973	0.0875791
KH.C1.1001.v1.A.nonSL8-1	1157	931.26	0	0
KH.C1.1001.v1.A.nonSL9-1	1091	865.26	0	0
KH.C1.1002.v1.A.ND1-1	547	327.699	1	0.233877
KH.C1.1003.v1.A.ND1-1	1705	1479.26	5	0.259053
KH.C1.1004.v1.A.ND1-1	2124	1898.26	6.11701	0.246971
KH.C1.1004.v1.A.SL6-1	2141	1915.26	0.0304741	0.00121945
KH.C1.1004.v1.A.nonSL10-1	2119	1893.26	244.264	9.8881
KH.C1.1004.v1.A.nonSL2-1	2143	1917.26	0.00708361	0.000283163
KH.C1.1004.v1.A.nonSL3-1	2131	1905.26	45.9481	1.84832
KH.C1.1004.v1.A.nonSL4-1	2140	1914.26	0.0632436	0.00253209
KH.C1.1004.v1.A.nonSL5-1	2139	1913.26	0.131301	0.00525965
KH.C1.1004.v1.A.nonSL7-1	1089	863.26	0	0
KH.C1.1004.v1.A.nonSL8-1	2147	1921.26	118.543	4.72881
