target_id	length	eff_length	est_counts	tpm
KH.C1.1.v1.A.ND1-1	995	789.882	58.0764	5.58568
KH.C1.1.v1.A.SL2-1	950	744.887	0	0
KH.C1.1.v1.A.SL3-1	984	778.882	0	0
KH.C1.10.v1.A.SL3-1	1956	1750.88	0	0
KH.C1.10.v2.A.SL2-1	1832	1626.88	293	13.6821
KH.C1.10.v3.A.ND1-1	1947	1741.88	0	0
KH.C1.100.v1.A.ND1-1	348	159.761	0	0
KH.C1.100.v1.A.nonSL2-1	226	65.8005	0	0
KH.C1.1000.v1.A.SL1-1	3403	3197.88	2174	51.646
KH.C1.1001.v1.A.ND1-1	1191	985.876	0.21146	0.0162946
KH.C1.1001.v1.A.SL12-1	1081	875.876	0.0115858	0.0010049
KH.C1.1001.v1.A.nonSL1-1	1191	985.876	0.21146	0.0162946
KH.C1.1001.v1.A.nonSL10-1	1064	858.876	1055.46	93.358
KH.C1.1001.v1.A.nonSL11-1	1140	934.876	6.1791e-06	5.02123e-07
KH.C1.1001.v1.A.nonSL13-1	1096	890.876	0	0
KH.C1.1001.v1.A.nonSL14-1	1216	1010.88	0	0
KH.C1.1001.v1.A.nonSL15-1	1099	893.876	0.000349804	2.97294e-05
KH.C1.1001.v1.A.nonSL2-1	1195	989.876	672.099	51.5812
KH.C1.1001.v1.A.nonSL3-1	1153	947.876	0	0
KH.C1.1001.v1.A.nonSL4-1	1098	892.876	0.0015415	0.000131157
KH.C1.1001.v1.A.nonSL5-1	1149	943.876	0	0
KH.C1.1001.v1.A.nonSL6-1	1093	887.876	0	0
KH.C1.1001.v1.A.nonSL7-1	1186	980.876	0	0
KH.C1.1001.v1.A.nonSL8-1	1157	951.876	0	0
KH.C1.1001.v1.A.nonSL9-1	1091	885.876	0	0
KH.C1.1002.v1.A.ND1-1	547	344.45	13	2.86719
KH.C1.1003.v1.A.ND1-1	1705	1499.88	9	0.455854
KH.C1.1004.v1.A.ND1-1	2124	1918.88	1.30277	0.0515775
KH.C1.1004.v1.A.SL6-1	2141	1935.88	3.03803e-05	1.19221e-06
KH.C1.1004.v1.A.nonSL10-1	2119	1913.88	41.3281	1.64048
KH.C1.1004.v1.A.nonSL2-1	2143	1937.88	0.0360557	0.00141347
KH.C1.1004.v1.A.nonSL3-1	2131	1925.88	0.0104593	0.000412583
KH.C1.1004.v1.A.nonSL4-1	2140	1934.88	6.02449e-05	2.36541e-06
KH.C1.1004.v1.A.nonSL5-1	2139	1933.88	4.30626e-05	1.69165e-06
KH.C1.1004.v1.A.nonSL7-1	1089	883.876	0	0
KH.C1.1004.v1.A.nonSL8-1	2147	1941.88	1431.07	55.986
KH.C1.1004.v1.A.nonSL9-1	2135	1929.88	0.000669214	2.63435e-05
KH.C1.1004.v1.R.ND1-1	2124	1918.88	1.30277	0.0515775
KH.C1.1005.v1.A.SL1-1	5484	5278.88	3688	53.0748
